,Job_title,Company,Location,Salary,Date_of_post,Today_date,Summary,Job_URL
64,Data Engineer,CodersLink,"Querétaro, Qro.",None,+30,2020-11-22,"Design and implement data platforms for large-scale, high performance and scalable requirements, integrating data from several data sources, managing structured…",https://mx.indeed.com/rc/clk?jk=eaac3d2d3d5f8817&fccid=942c4ec626ccb63b&vjs=3
65,Channel Sales Manager - The Carolinas,Verkada,"Las Carolinas, Dgo.",None,6,2020-11-22,"Behind the scenes, we’re a team of computer scientists, hardware engineers and experienced founders who saw a chance to make a real impact.",https://mx.indeed.com/rc/clk?jk=961c55ab3445227d&fccid=17b2ec97e4ece7cf&vjs=3
66,Fullstack Developer,Oyster Financial Inc,Ciudad de México,None,+30,2020-11-22,Design and implementation of cloud-based solutions to integrate different data sources. Develop and support data-driven product decisions in a high energy high…,https://mx.indeed.com/rc/clk?jk=ac9242f5881aa96b&fccid=c83a5e5b1cd50458&vjs=3
67,Senior Engineer,ASPENTECH,"Cuauhtémoc, CDMX",None,+30,2020-11-22,"AspenTech is looking for a Senior Engineer to join our Manufacturing and Supply Chain group, building the next generation of Production Optimization solutions…",https://mx.indeed.com/rc/clk?jk=58f16bcf7225c1cf&fccid=942c4ec626ccb63b&vjs=3
68,Senior Market Strategist for Steering Breeding Product Profile Designs,CIMMYT,"Texcoco, Méx.",None,+30,2020-11-22,"Results focused and pragmatic approach to multidimensional data assimilation. Experience in collection, analyses and interpretation of market intelligence data;…",https://mx.indeed.com/rc/clk?jk=94f84f0c444935e5&fccid=284b4a920ca3c3dd&vjs=3
69,Senior Data Engineer,Kueski,Desde casa,None,12,2020-11-22,+3 years of experience with large-scale data engineering. Transport data reliably across all our systems and users for analytical purposes.,https://mx.indeed.com/rc/clk?jk=c3eaeff7b6fd0f8a&fccid=69404b4fd1d4bb12&vjs=3
70,Quality Assurance Analyst,PerkinElmer,Ciudad de México,None,+30,2020-11-22,Strong data analysis skills and proficiency in electronic data management systems. Provide data regarding quality performance analysis and reporting for…,https://mx.indeed.com/rc/clk?jk=8da448b31169c1e4&fccid=dedb01f1a81e63e6&vjs=3
71,ANALISTA DE BASES DE DATOS RELACIONES SR,Tigerteam,"Cuajimalpa, CDMX",None,+30,2020-11-22,IMPORTANTE CONSULTORA DE TI SE ENCUENTRA EN BÚSQUEDA DE UN…. ANALISTA DE BASES DE DATOS RELACIONALES SR. Horario: Lunes a Viernes 09:00 a 18:00 horas.,https://mx.indeed.com/rc/clk?jk=702f940e5cf395ed&fccid=942c4ec626ccb63b&vjs=3
72,Senior Developer LATAM,Simple [A],"Colonia Florida, CDMX",None,+30,2020-11-22,"We are content engineers, analysts, programmers, developers, architects, content strategists, strategic consultants, data scientists, producers, marketers,…",https://mx.indeed.com/rc/clk?jk=60af82da81d628f3&fccid=d271b8ad811e9a70&vjs=3
73,ANALISTA PROGRAMADOR,Tigerteam,"Cuajimalpa, CDMX",None,+30,2020-11-22,IMPORTANTE CONSULTORA DE TI SE ENCUENTRA EN BÚSQUEDA DE UN…. Horario: Lunes a Viernes 09:00 a 18:00 horas. Contrato por Proyecto de 6 meses.,https://mx.indeed.com/rc/clk?jk=18dbc6efb347a7ec&fccid=942c4ec626ccb63b&vjs=3
