,Job_title,Company,Location,Salary,Date_of_post,Today_date,Summary,Job_URL
86,IMS Engineer,B.Yond,Ciudad de México,None,2,2020-11-22,"Analyze logs, traffic trace and configuration data. B-Yond develops AI-based network automation software, delivered via an open platform, enabling Telcos to…",https://mx.indeed.com/rc/clk?jk=d0d38d5d410b1d26&fccid=b9eb458007c490ea&vjs=3
87,Supplier Quality Development Engineer,Donaldson,"Aguascalientes, Ags.",None,+30,2020-11-22,"Develops solutions to a variety of complex problems of diverse scope and complexity, where technical rigor and analysis of data requires evaluation of…",https://mx.indeed.com/rc/clk?jk=0ad72cb1151e1064&fccid=9dd9bca92ec9c6f8&vjs=3
88,Staff Software Engineer - Data Engineering - Europe,Credijusto,Ciudad de México,None,+30,2020-11-22,"Prior, proven data platform or data infrastructure experience. We're looking for data engineers who are excited to collaborate with data scientists, analysts,…",https://mx.indeed.com/rc/clk?jk=a2383c0b6ed5aaaf&fccid=759d34c0be9113fd&vjs=3
89,Data Engineer,PACCAR,"Mexicali, B.C.",None,29,2020-11-22,"We build data pipelines, manage a data warehouse, and support the production use of our data. PACCAR is looking for a data engineer with AWS experience to join…",https://mx.indeed.com/rc/clk?jk=743826ed66538758&fccid=c2c6a7536e4d9df3&vjs=3
90,Data Engineer,PACCAR,"Mexicali, B.C.",None,29,2020-11-22,"We build data pipelines, manage a data warehouse, and support the production use of our data. PACCAR is looking for a data engineer with AWS experience to join…",https://mx.indeed.com/rc/clk?jk=743826ed66538758&fccid=c2c6a7536e4d9df3&vjs=3
91,Junior Data Developer,Solera,Ciudad de México,None,+30,2020-11-22,"Preferable additional computer skills based on software development and or data science. Organizes the guide numbers, combinations and spare parts also…",https://mx.indeed.com/rc/clk?jk=942980a2eb0566b6&fccid=aba27e89f85b47c6&vjs=3
92,Data Engineer,Ingredion,"Guadalajara, Jal.",None,+30,2020-11-22,"Create and maintain data pipeline architecture for enterprise wide data • Design and assemble large, complex data sets that meet business requirements.",https://mx.indeed.com/rc/clk?jk=0e18468e34ca1ae6&fccid=551fa28f29848303&vjs=3
93,Integration Engineer RAN experience,Ericsson,Ciudad de México,None,19,2020-11-22,"Manage multi-task several issues, processes, and analyze large amounts of data to provide real-time support to deployment engineers, internal, and external…",https://mx.indeed.com/rc/clk?jk=a9b1946696f42855&fccid=82656d64a9a3e6a7&vjs=3
94,Design Engineer Sr,Bosch Group,"Guadalajara, Jal.",None,+30,2020-11-22,"Design engineer is responsible for Consumer Products development meeting manufacturing, safety, quality, cost, marketing objectives compliance as per customer…",https://mx.indeed.com/rc/clk?jk=3dbd0f66106ed15c&fccid=a2faf1301ac6ad4b&vjs=3
95,Inside Sales,Hexagon Manufacturing Intelligence,"Querétaro, Qro.",None,+30,2020-11-22,"Ensure data integrity by performing general database maintenance, data clean up, account review, and accuracy verification in SFDC.",https://mx.indeed.com/rc/clk?jk=7b8bda8c61233a0d&fccid=8d8ebd68fa908521&vjs=3
96,"Project Supplier Quality Engineer - (MXM) - Queretaro, MX",Autoliv Mexico,"Querétaro, Qro.",None,17,2020-11-22,Demonstrate high competence in assembling data and presenting information in a clear and concise manner. Activities include verification of suppliers’ use of…,https://mx.indeed.com/rc/clk?jk=9089165837d31dcc&fccid=f1f71169fe44a4e6&vjs=3
97,Data Engineer,Rackspace,Desde casa,None,+30,2020-11-22,"10 years of development experience building data pipelines. As an Engineer, you will be working on building data platforms, providing data warehouse, analytics…",https://mx.indeed.com/rc/clk?jk=b92a22c6c3c569d3&fccid=b60c9324aeb7df96&vjs=3
98,Jr. Continuous improvement Engineer ,North American Production Sharing de México S.A. d...,"Tijuana, B.C.","$20,000 - $25,000 al mes",10,2020-11-22,"\*Follow up to corrective actions. \*1 year of experience in the position (requirend). \*Knowledge: Probability and statistics, 5 whys & pareto.",https://mx.indeed.com/company/North-American-Production-Sharing/jobs/Junior-continuous-improvement-engineer-617d8461b6775139?fccid=fbd3961fbab34c43&vjs=3
99,SAFETY ENGINEER,Rockwell Automation,"Tecate, B.C.",None,4,2020-11-22,JOB COMPLEXITY Works on issues of diverse scope where analysis of data requires valuation of identifiable factors.,https://mx.indeed.com/rc/clk?jk=b8e300942d37cf00&fccid=a4b7e90c6a891db3&vjs=3
100,Manufacturing Engineer,Knorr-Bremse North America,"Ciudad Acuña, Coah.",None,+30,2020-11-22,"This position is responsible for the design and implementation of work cells, maintaining standard work per KPS and PSA guidelines.",https://mx.indeed.com/rc/clk?jk=ba12469d5974dfe0&fccid=a23b36e1d6d2d53f&vjs=3
101,Senior Data Engineer,Cognizant,Ciudad de México,None,27,2020-11-22,Data/analytics products for client data platform program. Hadoop or other Big Data platform and building solutions that deliver value through leveraging data as…,https://mx.indeed.com/rc/clk?jk=8b5c9c0171e366e8&fccid=2df6a1e69a70a1e7&vjs=3
102,CRA,Novo Nordisk,Ciudad de México,None,4,2020-11-22,Update central data base in Clinical Trial Management System regularly. From health-care-provider interactions and developing and implementing regulatory…,https://mx.indeed.com/rc/clk?jk=2ff690e586a3183a&fccid=0ee07a80a4e05d45&vjs=3
103,Data Engineer,Yalochat,Desde casa,None,+30,2020-11-22,In order to integrate the data sources within the data warehouse. Create proper documentation related to data products and enhance or updating the current data…,https://mx.indeed.com/rc/clk?jk=5a098b67c9973bda&fccid=74ac28026a73f8e4&vjs=3
104,BIG DATA - SOFTWARE ENGINEER,Dresden Partners,"Álvaro Obregón, CDMX",None,+30,2020-11-22,"Dresden Partners expertos en web technology, UX / UI, mobile and software development, con servicios near-shore staffing, tech international y local tech…",https://mx.indeed.com/rc/clk?jk=fdd6f0f70b1375c4&fccid=a18556cab0e225ce&vjs=3
105,Electro-Mechanical Engineer,Stanley Black & Decker,"Monterrey, N. L.",None,6,2020-11-22,"Expected to review and approve first piece inspection data, test reports and implement engineering change orders. 3+ years engineering design experience.",https://mx.indeed.com/rc/clk?jk=4f6b653d91762ffc&fccid=d30328706976dba9&vjs=3
106,Parts Data Master Engineer,ABB,"Apodaca, N. L.",None,23,2020-11-22,Function as program manager/project leader on part data integrity for NPI and First of Kind projects ensuring that all parts data are correctly defined for and…,https://mx.indeed.com/rc/clk?jk=d646f3bd3409b169&fccid=38b4474838e7b7a1&vjs=3
107,Customer Quality Engineer,Danfoss,"Apodaca, N. L.",None,2,2020-11-22,"Analyze and initiate continuous improvement through quality metrics (reliability data, PPM, cost). Danfoss is looking for an experienced Customer Service…",https://mx.indeed.com/rc/clk?jk=44dae3d07ead24f3&fccid=86990856f142974f&vjs=3
